Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 1043,Kein Status,Wilde Müllkippe 🧹,1043,"19.04.2025, 12:46","Leider wurden bei uns Tüten mit Lebensmitteln abgestellt , die teilweise auch offen sind und somit Ungeziefer anziehen können.","Donnerschweer Straße 159, 26123 Oldenburg","53.1497, 8.23","24.04.2025, 09:54: Der Müll wurde beseitigt.24.04.2025; 24.04.2025, 08:06: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:06: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1042,Kein Status,Wilde Müllkippe 🧹,1042,"19.04.2025, 10:02",Altreifen,"Hochheider Weg, 26125 Oldenburg","53.1707, 8.2483","25.04.2025, 10:37: Müll wurde am23.04.2025 beseitigt."
ID 1040,Kein Status,Wilde Müllkippe 🧹,1040,"18.04.2025, 18:21","Der Parkplatz, Tunnel zum Hafen und Weg neben dem Hafen sind ständich mit Glasscherben bemüllt. Ich hatte schon 2 platte Reifen und es ist gefährlich.","Am Wendehafen, 26135 Oldenburg","53.1399, 8.2224","24.04.2025, 08:38: Der Bereich ist nicht im Eigentum der Stadt Oldenburg und wird auch nicht vom AWB 
gereinigt.; 24.04.2025, 08:07: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:07: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1037,Kein Status,Verkehrszeichen ⚠️,1037,"18.04.2025, 17:27",Das Spielstraßen-Schild wurde beschmiert.,"Paul-Bonatz-Straße, 26133 Oldenburg","53.0924, 8.2398","24.04.2025, 08:58: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:58: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1035,Kein Status,Straßen  🚧,1035,"18.04.2025, 13:45",VZ beklebt und Sperrpoller entfernt. Absperrung nicht mehr reflektierend.,"Mellumstraße 11, 26125 Oldenburg","53.1784, 8.2256","22.04.2025, 12:26: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.04.2025, 10:59: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1034,Kein Status,Spielplätze 🧸,1034,"18.04.2025, 10:31",Abdeckung für Holzpfosten fehlt auf  Klettergerüst auf dem Spielplatz Bloherfelder Wasserzug,"Nikolaus-Bernett-Straße, 26131 Oldenburg","53.1319, 8.1526","24.04.2025, 14:21: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 24.04.2025, 09:24: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1028,Kein Status,Wilde Müllkippe 🧹,1028,"17.04.2025, 12:00",Illegal entsorgter Abfall mit Essensresten. Die Ratten sind bald wieder im Anmarsch.,"Goethestraße 41, 26123 Oldenburg","53.1551, 8.2227","17.04.2025, 14:12: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.04.2025, 14:12: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1026,Kein Status,Wilde Müllkippe 🧹,1026,"17.04.2025, 02:24",Auf dem Feld liegen seit langer Zeit zwei gefüllte blaue Müllsäcke,"Hörneweg, 26129 Oldenburg","53.1498, 8.1599","23.04.2025, 08:05: Müll wurde beseitigt."
ID 1024,Kein Status,Wilde Müllkippe 🧹,1024,"16.04.2025, 19:27","An der Ofener Str.beim Ressourcen Zentrum  sind an der Straße  3 Parkbuchten und 1 davon ist mit Sperrmüll blockiert!
Das ist gegenüber  vom Subway.
Muss geräumt werden  Parkflächen werden  dort dringend benötigt....","Ofener Straße 34, 26122 Oldenburg","53.1422, 8.1962","17.04.2025, 10:22: Wird heute 17.04.2025 noch vom Verursacher beseitigt."
ID 1023,Kein Status,Privates Grün an Straßen 🌲,1023,"16.04.2025, 18:47","An mehreren Stellen wächst der Fußweg zu und verhindert ein vernünftiges passieren! 
Rollstuhlfahrer, Kinderwagen oder Rollator Benutzer müssen gefährlich auf die Straße ausweichen!!!","Schellenberg, 26133 Oldenburg","53.1039, 8.2115","17.04.2025, 14:44: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.04.2025, 14:44: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1021,Kein Status,Wilde Müllkippe 🧹,1021,"16.04.2025, 13:18","Siehe Foto, angekettetes Schrottrad","Schleusenstraße 22, 26135 Oldenburg","53.1321, 8.2135","23.04.2025, 08:25: Schrott wurde beseitigt."
ID 1020,Kein Status,Privates Grün an Straßen 🌲,1020,"16.04.2025, 10:25","Fußweg ist zugewachsen und muss gereinigt werden 
Städtisches Beet vor Hausnummer 7 hat an vielen Stellen keine Bepflanzung mehr und müsste mit geeigneten Pflanzen aufgefüllt werden.","Drielaker Heide, 26135 Oldenburg","53.1275, 8.2518","24.04.2025, 09:26: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:26: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1018,Kein Status,Wilde Müllkippe 🧹,1018,"16.04.2025, 07:52","Am Containerstellplatz in Höhe nr.28 würde ein Herd zwei Kl.Teppiche, und weiteres entsorgt.","Hirschberger Straße 28, 26135 Oldenburg","53.1333, 8.2396","23.04.2025, 08:15: Müll wurde beseitigt."
ID 1016,Kein Status,Straßen  🚧,1016,"15.04.2025, 17:13","Verschmutzte Wasserabläufe Bremer Heerstr. Bereich 135 bis 117, evtl. auch weitere Bereiche, beim Starkregen keine ausreichende Wasseraufnahme.","Bremer Heerstraße, 26135 Oldenburg","53.1258, 8.243","17.04.2025, 14:33: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.04.2025, 14:33: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1015,Kein Status,Wilde Müllkippe 🧹,1015,"15.04.2025, 14:51",In der Clausewitzstraße neben der Bushaltestelle bei der Mühlenhofapotheke steht ein alter Schreibtisch (Sperrmüll).,"Clausewitzstraße, 26125 Oldenburg","53.1655, 8.246","17.04.2025, 10:40: Der Sperrmüll wurde beseitigt."
ID 1014,Kein Status,Wilde Müllkippe 🧹,1014,"15.04.2025, 13:58","In sämtlicher Beeten entlang der Parkbuchten am Bundesbahnweg liegt sehr viel Abfall. Des Weiteren an der Weggrenze zur Straße ""Am Stadtmuseum"" liegt ebenfalls Abfall (und Scherben) vom Stromkasten bis zum Ende der Brücke. Ich danke Ihnen für Ihre Bemühungen.","Bundesbahnweg, 26122 Oldenburg","53.1446, 8.2176","17.04.2025, 13:22: Der Mangel wurde behoben.; 16.04.2025, 07:21: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.04.2025, 07:20: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1012,Kein Status,Wilde Müllkippe 🧹,1012,"15.04.2025, 08:18",Matratze und Restmüll,"Lenzweg 2, 26129 Oldenburg","53.1331, 8.1518","17.04.2025, 10:41: Müll wurde beseitigt."
ID 1011,Kein Status,Wilde Müllkippe 🧹,1011,"15.04.2025, 06:59","Niedersachsendamm, auf dem Gehweg liegt einen zerbrochene Glasflasche. Glasscherben","Niedersachsendamm, 26133 Oldenburg","53.1259, 8.2147","15.04.2025, 08:49: eine Kehrmaschine reinigt heute noch den Weg; 15.04.2025, 07:06: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.04.2025, 07:06: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1010,Kein Status,Wilde Müllkippe 🧹,1010,"14.04.2025, 19:47",Müllablage,"Stargarder Weg 4, 26125 Oldenburg","53.1625, 8.2329","15.04.2025, 05:04: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1009,Kein Status,Privates Grün an Straßen 🌲,1009,"14.04.2025, 16:28",Der Graben hinter dem Haus Scheidweg 168 B ist stark mit Laub verschmutzt und droht zu verstopfen und muss gereingt werden.,"Scheideweg 168b, 26127 Oldenburg","53.173, 8.2101","15.04.2025, 09:50: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.04.2025, 09:50: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1008,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",1008,"14.04.2025, 13:38","In den Wallanlagen vor der Bücke über der Haaren von der Georgstraße kommend, wurde auf der rechten Seite der Brücke (bei der Schule) auf der Bank zwei Hackenkreuze aufgemalt.","Georgstraße, 26121 Oldenburg","53.1433, 8.2089","17.04.2025, 13:35: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 17.04.2025, 12:14: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.04.2025, 12:13: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1007,Kein Status,Wilde Müllkippe 🧹,1007,"14.04.2025, 09:14",Unter der Autobahn!!!  in Höhe der Firma A.Henken (Nebenfahrbahn) würde ein Schrank entsorgt (bereits deinstalliert).,"Prinzessinweg, 26122 Oldenburg","53.1361, 8.1912","15.04.2025, 10:57: Der Schrank wurde entsorgt."
ID 1004,Kein Status,Straßen  🚧,1004,"13.04.2025, 20:43",Cloppenburger Str. 299 / Ecke  Dr.-Schüßler-Straße ist der Gully verstopft,"Cloppenburger Straße 299, 26133 Oldenburg","53.113, 8.212","15.04.2025, 10:18: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.04.2025, 10:18: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1003,Kein Status,Wilde Müllkippe 🧹,1003,"13.04.2025, 19:52",Ein PKW ohne Kennzeichen steht offensichtlich ohne Zulassung im öffentlichen Verkehrsraum.,"Eschstraße 31, 26123 Oldenburg","53.1536, 8.2272","15.04.2025, 12:16: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 07:20: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 07:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1001,Kein Status,Straßen  🚧,1001,"13.04.2025, 11:35",Viele Schlaglöcher direkt in der Kurve,"Westfalendamm, 26131 Oldenburg","53.1149, 8.193","14.04.2025, 14:22: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 14:22: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1000,Kein Status,Wilde Müllkippe 🧹,1000,"13.04.2025, 09:35",Wilde Müllkippe am Glascontainer Ecke Alexanderstr/Alexanderfeld,"Alexandersfeld, 26127 Oldenburg","53.1803, 8.1836","14.04.2025, 06:16: Müll wird imrahmen der Stellplatzreinigung."
ID 998,Kein Status,Wilde Müllkippe 🧹,998,"12.04.2025, 20:32",Kreyenstr 41 Unter der Autobahnbrücke (Richtung Nadorster Str auf dem rechten Bürgersteig) liegt Müll,"Kreyenstraße 41, 26127 Oldenburg","53.1663, 8.2213","15.04.2025, 10:55: Der Müll wurde beseitigt.; 14.04.2025, 07:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 07:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 996,Kein Status,Wilde Müllkippe 🧹,996,"12.04.2025, 14:46",Beim Teich im kleinen „Wäldchen“ liegt viel Müll. Zugang über Fried-Chr-Dahlmann-Straße.,"Friedrich-Christoph-Dahlmann-Straße, 26133 Oldenburg","53.0986, 8.2342","14.04.2025, 13:41: Müllwurde beseitigt"
ID 995,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",995,"12.04.2025, 14:11",An der F.-Mechau-Straße/Ecke Jägerstraße  liegt ein größerer entwurzelter Baum in der Böschung,"Jägerstraße 64-66, 26121 Oldenburg","53.1508, 8.1941","14.04.2025, 11:44: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 11:44: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 993,Kein Status,Straßen  🚧,993,"12.04.2025, 10:17",Beide Strassenseiten viele löcher durch den Frost. Kann man die auffüllen?,"Warnsweg 4, 26135 Oldenburg","53.1309, 8.246","14.04.2025, 14:13: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 14:12: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 992,Kein Status,Wilde Müllkippe 🧹,992,"12.04.2025, 08:36","Müll abgeladen, steht seit einer Woche rum","Cloppenburger Straße 270, 26133 Oldenburg","53.1147, 8.2125","14.04.2025, 13:42: Müll wurde beseitigt."
ID 991,Kein Status,Straßen  🚧,991,"12.04.2025, 07:34",Der gesamte Bereich an der Kreuzung Ecke An d Kolckwiese ist schlimm beschädigt,"Cloppenburger Straße 292, 26133 Oldenburg","53.1135, 8.2119","14.04.2025, 14:16: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 14:16: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 990,Kein Status,Straßen  🚧,990,"12.04.2025, 07:29","Weg wieder kaputt, Seite am Umspannwerk Richtung Kanal","Hemmelsbäker Kanalweg 10B, 26135 Oldenburg","53.1335, 8.2453","14.04.2025, 14:18: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 14:17: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 988,Kein Status,Straßen  🚧,988,"11.04.2025, 12:53",Die eckigen Gullys am Straßenrand scheinen in der Klingenbergstraße verstopft zu sein.,"Klingenbergstraße 1, 26133 Oldenburg","53.1091, 8.2097","17.04.2025, 11:58: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.04.2025, 11:58: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 987,Kein Status,Spielplätze 🧸,987,"11.04.2025, 12:32","Frau Schulze meldet, dass im Klettergerüst vom Spielplatz Ecke Harreweg 119 u.a. ein Fahrad und ein Bürostuhl hängen.","Harreweg 119, 26133 Oldenburg","53.0997, 8.224","14.04.2025, 11:45: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 14.04.2025, 11:41: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.04.2025, 11:40: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 986,Kein Status,Wilde Müllkippe 🧹,986,"11.04.2025, 12:11",Sperr-und Restmüll Ecke Babenend/Fröbelstraßeö,"Fröbelstraße 38, 26127 Oldenburg","53.163, 8.1967","15.04.2025, 10:54: Der Müll wurde beseitigt."
ID 985,Kein Status,Wilde Müllkippe 🧹,985,"11.04.2025, 11:42","Im Gebüsch an der Straße beim Utkiek liegen mehrere Müllsäcke. Beim Kreisel wurden mehrere Matratzen, Müllsäcke und Kinderspielzeug entsorgt.","Burmesterstraße, 26133 Oldenburg","53.12, 8.2242","14.04.2025, 13:44: Müll wurde beseitigt."
ID 984,Kein Status,Straßen  🚧,984,"11.04.2025, 08:21",Fahrradweg ist an einer Stelle abgesackt. Roller- und Radfahrer könnten stürzen. Danke,"Krögerskamp 47, 26133 Oldenburg","53.1208, 8.2241","11.04.2025, 09:22: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 09:22: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 983,Kein Status,Ampel 🚦,983,"11.04.2025, 07:55",An der Ampel Alexanderstraße / Im Dreieck ist die Signalanlage für Radfahrer und Fußgänger abgefahren worden.,"Alexanderstraße, 26127 Oldenburg","53.1632, 8.2034","11.04.2025, 11:55: Der Mangel wurde bearbeitet.; 11.04.2025, 08:22: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 08:22: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 981,Kein Status,Straßen  🚧,981,"10.04.2025, 23:09","Wenn man die AB in Nadorst rauf fährt, dann nach Ohmstede runter und sich links Stadtauswärts einordnet, da ist ein Schlagloch unten. So das man nicht gut abbiegen kann.
Das muß umgehend gerichtet werden, da es eine Gefahr ist und für Reifen ungeeignet!","Elsflether Straße 128, 26125 Oldenburg","53.1696, 8.262","11.04.2025, 09:06: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 09:06: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 980,Kein Status,Straßen  🚧,980,"10.04.2025, 20:49",Ecke Hermannstraße/Ahrensstraße: Poller nicht mehr im Boden verankert.,"Hermannstraße 36, 26135 Oldenburg","53.1344, 8.2232","28.04.2025, 07:26: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 11.04.2025, 08:50: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 08:49: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 978,Kein Status,Ampel 🚦,978,"10.04.2025, 16:41",Die obere Ampel mit der Nummer 5 in Richtung Kaufland ist defekt. Dort funktionieren alle drei Lampen nicht.,"Langenweg, 26125 Oldenburg","53.1848, 8.2263","14.04.2025, 09:11: Der Mangel wurde bearbeitet.; 11.04.2025, 08:20: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 08:20: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 977,Kein Status,Wilde Müllkippe 🧹,977,"10.04.2025, 16:02","1. Waldkauzweg-Ecke Sperberweg liegt ein Kinderroller im Graben.
2. Eingang Sperberweg (Rückseite Schulhof IGS) liegt ein groses Metallgitter und ein abgebrochener Holzpfosten.
3. Ende Sperberweg UNTER der Brücke über den Wasserzug liegt ein Kinderspielzelt im Wasser.","Waldkauzweg, 26133 Oldenburg","53.1156, 8.2223","17.04.2025, 10:43: Der Müll wurde beseitigt.; 11.04.2025, 06:53: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.04.2025, 06:52: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 976,Kein Status,Wilde Müllkippe 🧹,976,"10.04.2025, 15:25","Bereits am 27.03. und am 04.04. hatte ich Speermüll über die E-Mail des Ordnungsamtes gemeldet. Dieser wurde mindestens eine Woche vor dem 27.03. auf Höhe des Seggenwegs 4 auf dem Gehweg abgeladen. Ursprünglich befand sich dabei auch ein Sofa, das am 04.04. aber weg war. Bei dem Verursacher handelt es sich um einen ehemaligen Mieter aus dem Seggenweg 6. Vermieter ist hausverwaltung@bt-immobilien-oldenburg.de
Das angehängte Bild zeigt die aktuelle Situation. Da nun fast drei Wochen nichts passiert ist, habe ich bei der Stadt angerufen und wurde auf diese Möglichkeit der Meldung hingewiesen.","Seggenweg, 26133 Oldenburg","53.1229, 8.2353","11.04.2025, 10:05: Wird durch Serrmüllabfuhr abheholt."
ID 974,Kein Status,Straßen  🚧,974,"10.04.2025, 11:46","Abgemeldeter Polo.
Auto mit enzwerteten Kennzeichen belegt unnötig knappe Parkplätze.","Wilhelm-Krüger-Straße 9, 26123 Oldenburg","53.1588, 8.2247","10.04.2025, 12:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.04.2025, 12:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 973,Kein Status,Straßen  🚧,973,"10.04.2025, 11:36","Seit mehreren Monaten steht in der Kurve des Dersagauwegs ein alter Peugeot mit außerstädtischem Kennzeichen auf dem Parkstreifen, mittlerweile ist der TÜV abgelaufen. Dem Unkraut unter dem Auto nach wurde es länger nicht mehr bewegt. Das Fahrzeug wird augenscheinlich als zweiter Keller genutzt.","Lerigauweg, 26131 Oldenburg","53.1328, 8.1762","10.04.2025, 12:58: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.04.2025, 12:58: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 972,Kein Status,Wilde Müllkippe 🧹,972,"10.04.2025, 10:51","Sehr geehrte Mitarbeiter:innen,
zwei Teppiche, ein alter Reifen und ein Seil am Baum liegen/sind auf dem Waldweg parallel zur Tennishalle und der Wiese.
Bitte entsorgen Sie den Müll.
J.Pein juergen.pein@ewetel.net","Kaspersweg, 26129 Oldenburg","53.1299, 8.1578","17.04.2025, 10:44: Der Müll wurde beseitigt."
ID 971,Kein Status,Straßen  🚧,971,"10.04.2025, 09:55","Die Straße ist in der Mitte so weit erhöht, dass beim Auffahren auf die Straße von der Auffahrt das Auto auf der Straße aufliegt. Das Herunterfahren von der Auffahrt auf die Straße ohne Schäden am Fahrzeug ist so nicht möglich.
Höhe der Hausnummer 8 ist der Gehweg noch nicht fertiggestellt.","Kortlangstraße, 26123 Oldenburg","53.1494, 8.2242","10.04.2025, 09:57: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.04.2025, 09:57: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
